team,Date,Total Distance,Total Duration,timestamp,Seconds Moving,5km Time,Leg Number for Team,5km Elevation,Color
International Super Spreaders,June 2nd 2020,5.02,1436,6/3/2020 7:09,1436,1430.278884,27,26.69,#FFD700
Spunky Monkeys,June 2nd 2020,5.03,1407,6/3/2020 7:23,1407,1398.60835,28,3.98,#00A86B
Canberra Kitties,June 2nd 2020,5.05,3609,6/3/2020 7:23,3609,3573.267327,7,25.74,Red
Twelve Kitties,June 2nd 2020,5.01,1793,6/3/2020 7:29,1793,1789.421158,42,91.82,#CCCCFF
Footpussys,June 2nd 2020,12.27,3901,6/3/2020 7:29,3901,1589.649552,7,46.05,Orange
Unicorns on the Run!,June 2nd 2020,5.09,1651,6/3/2020 7:34,1651,1621.807466,8,77.11,White
International Super Spreaders,June 2nd 2020,5.08,1853,6/3/2020 7:44,1853,1823.818898,28,87.20,#FFD700
The Sensei Garys,June 2nd 2020,5,1664,6/3/2020 7:49,1664,1664,3,0.00,#F88379
his life,June 2nd 2020,5.05,1521,6/3/2020 7:59,1521,1505.940594,3,7.92,#FF985E
his life,June 2nd 2020,5.03,1684,6/3/2020 8:04,1684,1673.956262,4,3.98,#FF985E
Twelve Kitties,June 2nd 2020,5.12,1988,6/3/2020 8:27,1988,1941.40625,43,1.95,#CCCCFF
his life,June 2nd 2020,5.02,1640,6/3/2020 8:27,1640,1633.466135,5,7.97,#FF985E
Spunky Monkeys,June 2nd 2020,5.43,2615,6/3/2020 8:26,2615,2407.918969,29,29.47,#00A86B
RIOT Runners,June 2nd 2020,5.02,1605,6/3/2020 8:27,1605,1598.605578,14,27.89,#FFA500
Unicorns on the Run!,June 2nd 2020,9.32,3221,6/3/2020 8:56,3221,1728.004292,9,127.15,White
Spunky Monkeys,June 2nd 2020,5.06,1613,6/3/2020 8:56,1613,1593.873518,30,13.83,#00A86B
International Super Spreaders,June 2nd 2020,5.26,2052,6/3/2020 9:05,2052,1950.570342,29,133.08,#FFD700
Souls of the Sahara,June 2nd 2020,25.73,9108,6/3/2020 9:21,9108,1769.918383,3,57.21,Cyan
Spunky Monkeys,June 3rd 2020,5.31,1480,6/3/2020 9:31,1480,1393.596987,31,5.27,#00A86B
Kinfolk,June 3rd 2020,5.37,4599,6/3/2020 10:07,4599,4282.122905,1,12.20,#BFFF00
Spunky Monkeys,June 3rd 2020,6.48,1850,6/3/2020 12:18,1850,1427.469136,32,8.80,#00A86B
International Super Spreaders,June 3rd 2020,5.01,1372,6/3/2020 12:29,1372,1369.261477,30,21.96,#FFD700
Twelve Kitties,June 3rd 2020,8.27,3775,6/3/2020 12:29,3775,2282.345828,44,165.66,#CCCCFF
WhorunstheworldGIRLS,June 3rd 2020,5.09,1765,6/3/2020 13:12,1765,1733.791749,11,41.06,#1DD5EE
International Super Spreaders,June 3rd 2020,5.05,1470,6/3/2020 13:28,1470,1455.445545,31,25.74,#FFD700
RIOT Runners,June 3rd 2020,5.22,2129,6/3/2020 13:28,2129,2039.272031,15,16.19,#FFA500
Canberra Kitties,June 3rd 2020,7.01,2145,6/3/2020 13:28,2145,1529.957204,8,117.33,Red
Spunky Monkeys,June 3rd 2020,5.03,2181,6/3/2020 14:23,2181,2167.992048,33,49.70,#00A86B
Canberra Kitties,June 3rd 2020,5.33,2409,6/3/2020 14:37,2409,2259.849906,9,322.70,Red
Unicorns on the Run!,June 3rd 2020,5.21,3010,6/3/2020 15:19,3010,2888.675624,10,25.91,White
Canberra Kitties,June 3rd 2020,5.09,1378,6/3/2020 15:39,1378,1353.634578,10,51.08,Red
Kinfolk,June 3rd 2020,5,3842,6/3/2020 16:10,3842,3842,2,7.00,#BFFF00
